"Focus","Non-Focus","Off-Color Focus","Off-Color Non-Focus","Trash","OrbSpent"
11,13,0,3,232,1202
11,14,6,2,495,2465
11,15,3,2,596,2934
11,9,2,1,319,1596
11,10,5,4,428,2147
11,10,0,0,290,1456
11,15,5,4,511,2562
11,20,4,4,544,2723
11,7,1,3,224,1157
11,11,8,5,386,1972
11,13,0,0,347,1709
11,18,1,3,531,2623
11,22,5,3,468,2375
11,12,0,5,321,1632
11,18,3,0,427,2140
11,3,3,0,215,1086
11,11,3,2,340,1720
11,11,2,2,281,1425
11,11,1,3,235,1213
11,11,4,1,307,1559
11,5,0,1,302,1494
11,9,1,1,427,2086
11,11,1,3,387,1934
11,6,3,1,247,1251
11,6,2,0,242,1215
11,11,2,4,323,1636
11,15,5,0,321,1641
11,9,1,3,418,2059
11,12,0,0,352,1746
11,11,3,4,364,1822
11,13,0,2,282,1433
11,13,1,0,358,1795
11,17,2,2,407,2049
11,7,1,3,376,1856
11,17,4,5,567,2807
11,22,3,3,573,2866
11,26,6,4,522,2648
11,9,1,2,244,1241
11,19,5,2,619,3065
11,8,1,3,353,1742
11,11,2,2,388,1929
11,16,3,2,476,2368
11,20,8,6,615,3082
11,12,2,3,400,2003
11,15,4,5,452,2264
11,10,0,1,342,1691
11,7,4,3,296,1503
11,12,1,1,379,1877
11,10,2,1,356,1765
11,14,2,3,408,2046
11,8,1,2,317,1589
11,8,1,3,235,1191
11,9,1,1,262,1316
11,15,4,5,454,2294
11,15,2,3,403,2027
11,11,1,4,297,1505
11,21,3,3,483,2428
11,14,3,1,390,1957
11,3,0,1,342,1675
11,10,2,2,278,1419
11,13,1,1,339,1696
11,17,4,7,516,2590
11,18,1,1,414,2078
11,8,2,1,386,1916
11,16,1,0,522,2578
11,10,5,4,488,2422
11,9,1,2,414,2036
11,6,1,2,227,1154
11,12,6,1,475,2356
11,16,2,3,460,2284
11,13,3,1,397,1990
11,8,1,3,318,1594
11,18,1,3,501,2492
11,11,4,3,406,2017
11,7,1,0,183,937
11,9,1,7,260,1336
11,10,4,2,307,1559
11,10,3,2,339,1710
11,14,1,3,429,2141
11,8,1,2,274,1375
11,10,4,3,249,1294
11,2,1,1,236,1176
11,11,1,3,388,1937
11,13,2,4,340,1730
11,12,1,2,372,1849
11,9,0,1,254,1273
11,4,3,2,288,1443
11,13,1,2,281,1431
11,10,5,0,241,1231
11,7,2,0,246,1236
11,10,3,4,354,1785
11,10,1,0,340,1694
