"Legendary 1","Legendary 2","Legendary 3","Off-Color Legendary 1","Off-Color Legendary 2","Off-Color Legendary 3","Trash","OrbSpent"
11,10,14,4,2,0,500,2516
11,17,22,1,2,4,586,2989
11,12,16,1,2,2,376,1951
11,8,12,2,0,0,238,1261
11,6,6,2,1,3,341,1723
11,4,1,3,0,3,223,1140
11,8,19,3,2,2,410,2117
11,13,18,2,1,1,479,2441
11,9,9,2,1,2,378,1926
11,10,15,4,4,0,492,2498
11,5,5,0,2,0,311,1553
11,11,13,3,0,2,448,2265
11,4,15,1,1,0,314,1627
11,1,5,2,1,2,237,1200
11,13,8,2,2,7,464,2367
11,25,10,4,2,4,641,3247
11,1,6,1,3,1,288,1440
11,10,11,0,0,0,337,1717
11,12,13,1,1,2,394,2029
11,22,12,1,4,2,505,2589
11,19,9,2,2,4,571,2880
11,9,10,1,4,2,504,2518
11,7,8,1,3,3,407,2065
11,14,11,2,4,4,479,2430
11,13,20,6,1,3,597,3032
11,12,13,3,5,3,434,2236
11,9,11,2,1,4,329,1710
11,6,7,1,2,0,392,1950
11,9,8,1,0,1,351,1781
11,20,22,6,5,6,872,4417
11,4,5,2,1,0,295,1475
11,14,13,1,1,5,415,2144
11,19,11,5,3,6,656,3316
11,7,8,3,1,3,413,2089
11,13,13,1,0,3,395,2024
11,8,12,1,3,3,276,1462
11,23,10,7,2,6,669,3393
11,5,10,4,0,0,320,1628
11,19,22,3,2,2,565,2904
11,7,8,2,6,1,319,1648
11,7,14,2,2,0,417,2120
11,8,6,4,0,1,279,1437
11,9,6,3,0,3,385,1935
11,3,1,2,2,1,160,842
11,7,15,3,2,2,441,2229
11,12,16,1,5,0,416,2144
11,7,15,1,4,0,350,1822
11,9,13,6,2,3,488,2500
11,9,11,3,2,5,326,1711
11,6,5,0,0,2,259,1326
11,9,10,1,4,2,326,1688
11,15,17,1,0,0,293,1575
11,6,13,2,0,2,355,1813
11,6,8,1,1,0,270,1371
11,14,10,3,6,1,442,2276
11,17,12,3,2,4,482,2472
11,18,18,10,7,5,857,4351
11,13,15,2,1,1,425,2167
11,10,9,3,3,2,405,2072
11,26,16,2,4,2,547,2824
11,4,7,0,3,5,330,1687
11,16,7,0,1,1,390,1976
11,12,13,5,2,1,623,3106
11,14,9,4,0,0,431,2200
11,8,10,2,6,4,337,1762
11,12,14,4,1,2,498,2523
11,24,22,5,7,2,702,3608
11,15,23,3,1,2,575,2926
11,9,5,1,3,2,296,1519
11,11,6,1,0,2,386,1943
11,13,12,0,1,1,382,1951
11,14,22,7,2,6,752,3789
11,8,8,2,1,1,263,1365
11,9,9,5,0,1,447,2264
11,8,4,2,0,0,256,1311
11,6,8,2,1,2,379,1902
11,15,14,2,6,1,528,2680
11,17,17,3,5,6,510,2649
11,9,6,0,0,3,255,1323
11,23,19,2,2,3,572,2945
11,9,8,2,3,3,326,1687
11,13,10,4,2,3,350,1845
11,9,10,3,6,1,521,2626
11,12,32,5,4,0,583,3018
11,15,22,4,8,4,559,2892
11,7,9,1,1,1,420,2104
11,12,13,2,4,1,319,1685
11,4,4,3,0,1,361,1781
11,10,10,2,0,3,317,1654
11,14,11,3,4,2,382,2018
11,20,9,1,4,2,732,3626
11,14,26,3,2,3,610,3125
11,17,10,3,0,4,441,2277
11,15,10,2,2,2,512,2581
11,12,14,2,1,6,525,2669
11,17,14,4,2,4,510,2620
11,14,15,0,1,2,429,2193
11,13,7,3,6,2,396,2049
11,6,10,4,3,1,271,1426
11,11,14,2,1,2,529,2653
11,12,4,2,1,2,388,1951
11,11,13,2,1,1,491,2473
11,8,7,0,2,2,248,1289
11,16,15,2,4,5,546,2784
11,4,7,2,2,0,385,1915
11,4,5,1,1,2,289,1465
11,13,22,4,3,2,610,3119
11,7,3,1,1,0,288,1438
11,8,10,2,1,2,401,2015
11,17,9,1,2,1,459,2323
11,14,5,6,3,1,392,2020
11,7,6,2,1,2,384,1929
11,14,11,1,1,1,464,2329
11,6,3,1,2,3,263,1350
11,13,3,3,2,5,389,1990
11,12,19,2,1,3,384,2021
11,13,12,3,3,4,482,2453
11,5,8,3,4,1,219,1173
11,7,7,1,1,0,166,900
11,9,6,1,2,2,353,1785
11,6,9,1,2,2,447,2223
11,6,11,2,1,2,344,1760
11,9,12,1,4,1,396,2012
11,13,8,0,2,1,315,1621
11,11,18,1,1,1,469,2387
11,12,15,3,1,3,534,2693
11,5,7,0,1,1,285,1448
11,8,5,0,2,1,336,1701
11,7,6,0,1,0,324,1639
11,14,7,1,1,1,292,1522
11,11,16,0,3,3,481,2457
11,9,16,2,5,8,490,2518
11,8,8,4,6,1,465,2339
11,16,11,2,0,1,361,1867
11,26,15,1,4,4,864,4333
11,6,7,1,0,2,278,1414
11,11,8,3,0,3,331,1707
11,10,7,2,0,2,296,1525
11,13,6,3,2,3,368,1886
11,8,8,2,2,2,317,1640
11,17,6,1,2,3,455,2305
11,15,9,2,2,4,348,1818
11,15,11,3,3,1,390,2020
11,4,13,0,2,2,306,1583
11,15,9,1,5,0,357,1861
11,8,10,3,3,0,290,1519
11,5,7,0,0,0,246,1249
11,8,9,2,2,1,379,1908
11,8,12,1,2,3,431,2186
11,16,17,2,2,2,470,2413
11,10,11,0,2,0,380,1934
11,15,9,0,4,2,549,2758
11,19,20,3,4,1,473,2483
11,10,10,1,2,0,319,1659
11,15,5,3,2,1,366,1867
11,8,4,4,1,1,304,1546
11,15,18,3,1,2,672,3369
11,19,15,1,1,4,522,2663
11,11,14,0,3,0,413,2109
11,17,19,1,1,2,565,2870
11,11,11,1,3,0,369,1903
11,8,14,3,2,2,517,2599
11,4,5,1,3,3,272,1398
11,10,8,2,3,1,322,1645
11,11,9,4,0,2,359,1839
11,9,11,1,1,0,339,1721
11,26,28,3,2,3,772,3954
11,10,10,4,3,1,362,1868
11,8,12,3,3,0,370,1909
11,5,8,4,2,0,327,1658
11,15,14,1,3,1,531,2674
11,5,11,1,2,2,407,2039
11,16,7,0,1,3,441,2238
11,11,10,2,1,1,261,1372
11,10,9,1,2,4,318,1646
11,9,1,0,1,3,237,1219
11,18,13,3,5,5,431,2266
11,10,10,1,4,2,419,2128
11,12,12,2,2,6,387,1998
11,17,16,5,1,2,575,2927
11,11,9,0,2,4,359,1843
11,12,11,1,1,2,293,1544
11,6,8,3,1,2,266,1398
11,11,13,2,3,3,452,2316
11,8,11,7,1,3,382,1976
11,17,14,1,3,2,499,2570
11,11,5,2,1,0,310,1582
11,7,12,2,0,3,416,2087
11,9,10,2,0,4,372,1894
11,4,7,0,1,0,232,1172
11,8,11,4,2,1,426,2153
11,10,12,0,1,0,409,2066
11,9,16,3,1,1,415,2126
11,6,7,1,3,3,364,1844
11,6,3,0,0,1,243,1223
11,9,19,0,3,3,466,2372
11,19,16,0,1,1,517,2632
11,14,4,3,2,4,381,1949
11,9,12,1,3,4,384,1986
11,11,13,1,0,1,355,1818
11,24,27,7,8,5,783,4028
11,10,13,2,2,2,453,2313
11,5,5,1,0,0,270,1360
11,8,8,6,1,2,437,2209
11,8,7,3,3,1,374,1916
11,7,6,0,1,4,373,1860
11,8,12,3,2,2,419,2122
11,16,14,1,5,0,521,2638
11,12,8,4,3,0,306,1594
11,13,10,4,3,5,471,2412
11,13,6,3,5,1,306,1616
11,18,13,4,4,1,485,2487
11,13,3,4,1,0,258,1355
11,17,12,4,1,2,499,2529
11,8,12,0,3,3,489,2467
11,18,11,1,2,1,444,2264
11,8,11,1,1,1,475,2373
11,5,15,3,2,4,391,2016
11,13,15,0,2,4,404,2100
11,8,8,2,3,1,259,1360
11,4,3,0,3,2,207,1066
11,11,14,0,3,3,404,2088
11,11,8,3,1,0,354,1814
11,5,1,4,1,1,275,1393
11,11,8,1,2,0,371,1881
11,7,8,0,4,1,414,2081
11,14,10,4,6,1,413,2147
